2025-09-02 11:43:22 | Main-Logger | INFO | Main logger Started.
2025-09-02 11:46:31 | Main-Logger | INFO | Main logger Started.
2025-09-02 12:18:51 | Main-Logger | INFO | Main logger Started.
2025-09-02 12:24:17 | Main-Logger | INFO | Main logger Started.
2025-09-02 12:25:39 | Main-Logger | INFO | data Loading Completed..
2025-09-02 12:25:39 | Main-Logger | INFO | Cleaing data...........
2025-09-02 12:25:54 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 12:25:54 | Main-Logger | INFO | Gujarat Started......
2025-09-02 12:26:26 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 12:26:26 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 12:26:33 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 12:26:33 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 12:27:05 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 12:27:06 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 12:27:20 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 12:40:30 | Main-Logger | INFO | Main logger Started.
2025-09-02 12:40:37 | Main-Logger | INFO | data Loading Completed..
2025-09-02 12:40:37 | Main-Logger | INFO | Cleaing data...........
2025-09-02 12:40:39 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 12:40:39 | Main-Logger | INFO | Gujarat Started......
2025-09-02 12:40:42 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 12:40:42 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 12:40:44 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 12:40:44 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 12:40:45 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 12:40:45 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 12:40:47 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 15:23:50 | Main-Logger | INFO | Main logger Started.
2025-09-02 15:23:54 | Main-Logger | INFO | data Loading Completed..
2025-09-02 15:23:54 | Main-Logger | INFO | Cleaing data...........
2025-09-02 15:23:55 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 15:23:55 | Main-Logger | INFO | Gujarat Started......
2025-09-02 15:32:54 | Main-Logger | INFO | Main logger Started.
2025-09-02 15:33:00 | Main-Logger | INFO | data Loading Completed..
2025-09-02 15:33:00 | Main-Logger | INFO | Cleaing data...........
2025-09-02 15:33:01 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 15:33:01 | Main-Logger | INFO | Gujarat Started......
2025-09-02 15:33:05 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 15:33:05 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 15:33:06 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 15:33:06 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 15:33:07 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 15:33:07 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 15:33:09 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 15:36:36 | Main-Logger | INFO | Main logger Started.
2025-09-02 15:36:45 | Main-Logger | INFO | data Loading Completed..
2025-09-02 15:36:45 | Main-Logger | INFO | Cleaing data...........
2025-09-02 15:36:46 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 15:36:46 | Main-Logger | INFO | Gujarat Started......
2025-09-02 15:36:49 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 15:36:49 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 15:36:51 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 15:36:51 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 15:36:53 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 15:36:53 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 15:36:54 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 16:08:33 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:08:45 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:08:45 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:08:47 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 16:08:47 | Main-Logger | INFO | Gujarat Started......
2025-09-02 16:08:52 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 16:08:52 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 16:08:53 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 16:08:53 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 16:08:55 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 16:08:55 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 16:08:57 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 16:15:30 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:15:33 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:15:33 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:15:34 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 16:15:34 | Main-Logger | INFO | Gujarat Started......
2025-09-02 16:17:06 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:17:10 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:17:10 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:17:10 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 16:17:10 | Main-Logger | INFO | Gujarat Started......
2025-09-02 16:25:15 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:25:26 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:25:26 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:25:28 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 16:25:28 | Main-Logger | INFO | Gujarat Started......
2025-09-02 16:25:33 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 16:25:33 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 16:25:35 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 16:25:35 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 16:25:38 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 16:25:38 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 16:25:40 | Main-Logger | INFO | TamilNadu Completed 
2025-09-02 16:42:01 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:42:11 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:42:11 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:42:39 | Main-Logger | INFO | Main logger Started.
2025-09-02 16:42:51 | Main-Logger | INFO | data Loading Completed..
2025-09-02 16:42:51 | Main-Logger | INFO | Cleaing data...........
2025-09-02 16:42:53 | Main-Logger | INFO | Cleanig Completed.
2025-09-02 16:42:53 | Main-Logger | INFO | Gujarat Started......
2025-09-02 16:42:57 | Main-Logger | INFO | Gujarat Completed 
2025-09-02 16:42:57 | Main-Logger | INFO | Maharashtra Started......
2025-09-02 16:42:59 | Main-Logger | INFO | Maharashtra Completed 
2025-09-02 16:42:59 | Main-Logger | INFO | Chattisgarh Started......
2025-09-02 16:43:01 | Main-Logger | INFO | Chattisgarh Completed 
2025-09-02 16:43:01 | Main-Logger | INFO | TamilNadu Started......
2025-09-02 16:43:02 | Main-Logger | INFO | TamilNadu Completed 
